,MonthPE,Date,Season,Daily_Temp,Daily_Precip,Daily_Humidity,Daily_Pressure,Daily_WindDir,Daily_WindSpeed,Daily_DNI,Daily_GHI,Daily_radiation
2018-12-31,12,2018-12-31,Winter,7.855555555555556,13.61111111111111,95.11111111111111,1020.9555555555556,329.77777777777777,1.8444444444444446,0.0,34.44444444444444,34.44444444444444
2019-01-01,1,2019-01-01,Winter,6.9,9.833333333333334,89.88888888888889,1019.0222222222224,307.8888888888889,3.522222222222222,0.0,35.888888888888886,35.888888888888886
2019-01-02,1,2019-01-02,Winter,4.266666666666667,6.800000000000001,73.66666666666667,1024.2333333333333,12.222222222222221,4.6,10.444444444444445,67.0,66.22222222222223
2019-01-03,1,2019-01-03,Winter,2.8,7.6000000000000005,83.22222222222223,1024.5222222222221,22.666666666666668,3.2333333333333334,22.11111111111111,83.66666666666667,81.77777777777777
2019-01-04,1,2019-01-04,Winter,2.011111111111111,8.522222222222222,86.22222222222223,1024.4333333333334,15.222222222222221,3.0777777777777775,33.77777777777778,65.22222222222223,58.22222222222222
2019-01-05,1,2019-01-05,Winter,3.6666666666666665,10.255555555555555,82.55555555555556,1021.6777777777778,325.8888888888889,4.2555555555555555,5.111111111111111,41.111111111111114,40.666666666666664
2019-01-06,1,2019-01-06,Winter,4.375,11.6,82.5,1021.05,314.375,2.925,0.0,43.875,43.875
2019-01-07,1,2019-01-07,Winter,5.7875,14.8625,90.75,1020.0,282.0,2.0875,0.0,74.75,74.75
2019-01-08,1,2019-01-08,Winter,6.6,8.975,81.125,1010.95,318.875,6.1375,41.25,112.375,101.125
2019-01-09,1,2019-01-09,Winter,3.966666666666667,7.655555555555556,73.55555555555556,1008.4444444444445,345.8888888888889,7.199999999999999,20.555555555555557,74.44444444444444,69.44444444444444
2019-01-10,1,2019-01-10,Winter,2.177777777777778,9.244444444444445,80.55555555555556,1012.5555555555555,13.777777777777779,3.7777777777777777,17.88888888888889,95.0,93.44444444444444
2019-01-11,1,2019-01-11,Winter,4.825,15.15,94.875,1012.9125,313.25,2.65,4.375,53.875,53.125
2019-01-12,1,2019-01-12,Winter,5.688888888888889,13.61111111111111,88.88888888888889,1010.8444444444444,261.44444444444446,5.766666666666667,0.0,55.44444444444444,55.44444444444444
2019-01-13,1,2019-01-13,Winter,8.95,19.2125,90.125,1001.45,281.375,7.6625,20.875,82.25,76.625
2019-01-14,1,2019-01-14,Winter,6.609999999999999,10.010000000000002,74.7,1005.28,315.5,5.29,7.9,76.0,75.2
2019-01-15,1,2019-01-15,Winter,5.99,8.15,73.7,1007.82,248.6,3.4299999999999997,1.4,57.4,57.3
2019-01-16,1,2019-01-16,Winter,4.055555555555555,11.433333333333334,77.44444444444444,995.9888888888888,217.22222222222223,4.922222222222222,395.6666666666667,170.44444444444446,59.55555555555556
2019-01-17,1,2019-01-17,Winter,4.85,8.18,83.7,995.5799999999999,286.5,6.6,75.3,104.8,82.8
2019-01-18,1,2019-01-18,Winter,1.5,6.01,77.1,1003.9799999999999,165.6,3.2299999999999995,479.0,173.7,44.6
2019-01-19,1,2019-01-19,Winter,1.2000000000000002,11.711111111111112,80.33333333333333,995.8888888888889,150.55555555555554,4.866666666666666,47.0,86.88888888888889,77.22222222222223
2019-01-20,1,2019-01-20,Winter,2.6333333333333333,10.911111111111111,93.22222222222223,999.0222222222224,42.77777777777778,2.911111111111111,22.22222222222222,59.55555555555556,57.333333333333336
2019-01-21,1,2019-01-21,Winter,-0.71,3.9299999999999997,76.7,1007.3799999999999,232.4,1.7100000000000002,570.4,192.7,39.1
2019-01-22,1,2019-01-22,Winter,0.788888888888889,9.933333333333332,95.22222222222223,990.2888888888889,213.66666666666666,3.755555555555555,0.3333333333333333,56.666666666666664,56.666666666666664
2019-01-23,1,2019-01-23,Winter,1.15,7.93,92.4,982.3299999999999,336.4,5.86,0.0,43.7,43.7
2019-01-24,1,2019-01-24,Winter,0.48,7.07,88.1,997.22,301.3,2.29,10.0,76.6,75.7
2019-01-25,1,2019-01-25,Winter,3.22,13.819999999999999,93.8,1001.4799999999999,229.9,2.41,17.9,80.5,74.2
2019-01-26,1,2019-01-26,Winter,7.19,10.690000000000001,91.2,996.1,240.6,6.4799999999999995,0.5,78.0,77.9
2019-01-27,1,2019-01-27,Winter,5.33,11.24,86.1,977.9100000000001,281.6,8.47,0.0,46.2,46.2
2019-01-28,1,2019-01-28,Winter,3.7699999999999996,7.33,69.6,990.25,310.4,6.16,258.7,140.2,70.9
2019-01-29,1,2019-01-29,Winter,1.65,10.26,80.5,987.32,162.8,5.84,0.0,78.4,78.4
2019-01-30,1,2019-01-30,Winter,1.8399999999999999,6.640000000000001,82.0,982.6700000000001,255.3,5.68,236.6,157.3,82.2
2019-01-31,1,2019-01-31,Winter,-0.73,6.35,92.0,977.95,132.4,4.92,17.1,112.7,109.4
